tag,code,blank,comment,nFiles,release_date
1.4,48551,8727,11154,419,2009-01-06
1.5.0,63240,11018,18457,512,2009-02-18
1.5.1,67939,11618,18131,600,2009-08-05
1.5.2,68564,11555,11906,611,2009-08-17
1.6.1,86799,14582,41327,744,2009-11-05
2.0.0,115586,18488,42717,1074,2010-06-05
2.0.1,115699,18492,42724,1074,2010-07-06
3.0.0,188246,29836,60879,1694,2012-02-07
3.0.1,189022,29945,61587,1696,2012-03-12
3.1.0,191269,29973,62628,1642,2012-06-22
3.1.1,192026,30086,62931,1645,2012-09-17
3.1.2,192113,30101,62959,1646,2012-09-27
3.2.0,257934,43596,119688,2004,2012-12-17
3.2.1,260231,43992,120082,2011,2013-02-28
3.2.2,260173,43974,120045,2007,2013-04-16
3.3.0,350914,58798,159566,2682,2013-06-20
3.3.1,359678,60196,161364,2760,2013-09-11
3.3.2,359895,60217,161391,2760,2013-10-24
3.4.0,291555,48371,149981,2367,2013-10-24
3.4.1,291450,48466,150105,2372,2013-12-16
3.4.2,291904,48513,150112,2372,2014-02-25
4.0.0,357375,57707,159944,2790,2014-05-30
4.0.1,355016,57475,159996,2792,2014-08-04
4.0.2,355534,57580,160417,2798,2014-11-03
4.1.0,419663,68854,208270,3283,2015-01-28
4.1.1,422856,69263,208361,3293,2015-05-07
4.1.2,423222,69317,208430,3293,2015-07-28
4.2.0,438240,71324,218459,3439,2015-10-22
4.2.1,438744,71439,218542,3439,2015-12-07
4.2.2,439618,71533,218728,3442,2016-04-27
4.3.0,455646,72172,219435,3405,2016-08-09
4.3.1,456159,72232,219480,3405,2016-12-14
4.4.0,472926,75325,216544,3597,2017-03-07
4.4.1,473836,75392,216678,3598,2017-05-08
4.4.2,474213,75436,216751,3599,2017-08-30
